strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Italy/635/1987	L05252	H3N2	1987-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/swine/Italy/309/1983	L05476	H3N2	1983-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/duck/Vietnam/OIE-2577/2011	AB778269	H3N8	2011-09-17	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/OIE-3041/2011	AB719052	H3N8	2011-10-09	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/OIE-3022/2011	AB779675	H3N2	2011-10-09	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/mallard/California/1475/2010	CY120504	H3N8	2010-08-10	Avian	Usa	North America	Mallard	duck	Anseriformes
A/duck/Vietnam/OIE-3287/2011	AB719907	H3N6	2011-10-05	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/canine/Singapore/SG_NParks_CIV_M10305/2018	ON965278	H3N2	2018-06-XX	Canine	Singapore	Southeast Asia	Canine	canine	Canine
A/ruddy_turnstone/New_Jersey/UGAI17-2629/2017	MH068071	H3N2	2017-05-19	Avian	Usa	North America	Ruddy Turnstone	wader	Neoave
A/swine/Shandong/133/2007	GU086114	H3N2	2007-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Fujian/43/2007	GU086098	H3N2	2007-XX-XX	Swine	China	China	Swine	swine	Swine
A/swine/Shandong/106/2007	GU086106	H3N2	2007-XX-XX	Swine	China	China	Swine	swine	Swine
A/Swine/Italy/25823/94	AF213904	H3N2	1994-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/Swine/NorthCarolina/16497/99	AF268146	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Colorado/23619/99	AF268145	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Oklahoma/18717/99	AF268143	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Illinois/21587/99	AF268144	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/swine/Italy/66945/2006	EU091679	H3N1	2006-XX-XX	Swine	Italy	Europe	Swine	swine	Swine
A/Swine/Oklahoma/18089/99	AF268142	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Wisconsin/14094/99	AF268141	H3N2	1999-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/duck/Ontario/05/00	GQ249058	H3N2	2000-XX-XX	Avian	Canada	North America	Duck	duck	Anseriformes
A/duck/Korea/S10/03	AY862659	H3N2	2003-XX-XX	Avian	South Korea	Japan Korea	Duck	duck	Anseriformes
A/equine/Nador/1/1997	JQ955608	H3N8	1997-12-31	Equine	Morocco	Africa	Equine	equine	Equine
A/Duck/Nanchang/12-280/2000	AY180586	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/8-198/2000	AY180532	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Duck/Nanchang/1-161/2001	AY180528	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Chicken/Nanchang/12-301/2000	AY180527	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/2-120/2001	AY180533	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/1-020/2001	AY180585	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Duck/Nanchang/9-091/2000	AY180526	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/pigeon/Nanchang/9-058/2000	AY180582	H3N3	2000-XX-XX	Avian	China	China	Pigeon	pigeon	Neoave
A/Chicken/Nanchang/9-220/2000	AY180535	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Duck/Nanchang/9-385/2000	AY180579	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Pigeon/Nanchang/11-045/2000	AY180530	H3N6	2000-XX-XX	Avian	China	China	Pigeon	pigeon	Neoave
A/pigeon/Nanchang/8-142/2000	AY180536	H3N6	2000-XX-XX	Avian	China	China	Pigeon	pigeon	Neoave
A/Chicken/Nanchang/12-220/2000	AY180545	H3N6	2000-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Duck/Nanchang/8-197/2000	AY180546	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/bantam/Nanchang/9-366/2000	AY180580	H3N3	2000-XX-XX	Avian	China	China	Bantam	fowl	Avian
A/Duck/Nanchang/10-096/2000	AY180549	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Quail/Nanchang/10-028/2000	AY180550	H3N6	2000-XX-XX	Avian	China	China	Quail	quail	Galliformes
A/Duck/Nanchang/1-181/2001	AY180552	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/chicken/Nanchang/3-120/2001	AY180555	H3N2	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Duck/Nanchang/2-182/2001	AY180556	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/chicken/Nanchang/3-201/01	AY180561	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/1-101/2001	AY180565	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Nanchang/2-220/2001	AY180566	H3N6	2001-XX-XX	Avian	China	China	Chicken	chicken	Galliformes
A/Quail/Nanchang/3-140/2001	AY180567	H3N6	2001-XX-XX	Avian	China	China	Quail	quail	Galliformes
A/Duck/Nanchang/1-100/2001	AY180577	H3N6	2001-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/Quail/Nanchang/2-040/2001	AY180569	H3N6	2001-XX-XX	Avian	China	China	Quail	quail	Galliformes
A/Duck/Nanchang/10-383/2000	AY180553	H3N6	2000-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/GR490/2011	KC492415	H3N2	2011-09-14	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/duck/Beijing/33/04	EU492511	H3N8	2004-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/duck/Beijing/56/05	EU492514	H3N8	2005-XX-XX	Avian	China	China	Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/GR252/2011	KC492383	H3N2	2011-08-31	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/MW662/2010	KC492335	H3N6	2010-09-17	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/GR256/2011	KC492391	H3N2	2011-08-31	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/GR396/2011	KC492399	H3N2	2011-09-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/GR679/2011	KC492423	H3N2	2011-10-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/swine/Mumbai/mum15/2018	MH158549	H3N2	2018-03-13	Swine	India	South Asia	Swine	swine	Swine
A/equine/Mongolia/1/2008	AB436911	H3N8	2008-01-XX	Equine	Mongolia	West Asia	Equine	equine	Equine
A/equine/Sao_Paulo/11.FMVZ/2015	MG002452	H3N8	2015-09-21	Equine	Brazil	South America	Equine	equine	Equine
A/ruddy_turnstone/Peru/PuV181/2009	KR824689	H3N1	2009-11-24	Avian	Peru	South America	Ruddy Turnstone	wader	Neoave
A/mallard/Alberta/127/00	AY633151	H3N8	2000-XX-XX	Avian	Canada	North America	Mallard	duck	Anseriformes
A/equine/Kanazawa/1/2007	AB370084	H3N8	2007-XX-XX	Equine	Japan	Japan Korea	Equine	equine	Equine
A/equine/La_Plata/1/1993	AB543713	H3N8	1993-XX-XX	Equine	Argentina	South America	Equine	equine	Equine
A/equine/Yokohama/aq19/2009	AB544411	H3N8	2009-05-XX	Equine	Japan	Japan Korea	Equine	equine	Equine
A/duck/Vietnam/HU1-1128/2014	LC069930	H3N2	2014-09-XX	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/Swine/Hong_Kong/2422/98	AF400756	H3N2	1998-XX-XX	Swine	Hong Kong	China	Swine	swine	Swine
A/duck/Vietnam/OIE-2747/2012	AB769128	H3N8	2012-08-14	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/OIE-3426/2012	AB775647	H3N8	2012-10-08	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/dove/Korea/S11/2003	AY862660	H3N2	2003-XX-XX	Avian	South Korea	Japan Korea	Dove	dove	Neoave
A/duck/Vietnam/OIE-3406/2012	AB775623	H3N8	2012-10-07	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/OIE-3241/2012	AB775631	H3N8	2012-10-09	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/teal/Korgalzhyn/1797/2006	GU953260	H3N8	2006-10-07	Avian	Kazakhstan	West Asia	Teal Duck	duck	Anseriformes
A/duck/Vietnam/OIE-1212/2012	AB739014	H3N2	2012-04-16	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/OIE-1232/2012	AB739664	H3N6	2012-04-16	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/OIE-1234/2012	AB739672	H3N2	2012-04-16	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Vietnam/OIE-1218/2012	AB739022	H3N6	2012-04-16	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/muscovy_duck/Viet_Nam/HN-2229/2015	MK943054	H3N8	2015-01-12	Avian	Vietnam	Southeast Asia	Muscovy Duck	duck	Anseriformes
A/garganey/Korgalzhyn/865/2004	GU953256	H3N6	2004-10-XX	Avian	Kazakhstan	West Asia	Garganey	duck	Anseriformes
A/swine/North_Carolina/CD81015/2015	MW843966	H3N2	2015-08-17	Swine	Usa	North America	Swine	swine	Swine
A/turkey/Minnesota/764-2/03	AY779262	H3N2	2003-XX-XX	Avian	Usa	North America	Turkey	turkey	Galliformes
A/turkey/North_Carolina/12344/03	AY779261	H3N2	2003-XX-XX	Avian	Usa	North America	Turkey	turkey	Galliformes
A/equine/Almaty/26/2007	GU953264	H3N8	2007-09-03	Equine	Kazakhstan	West Asia	Equine	equine	Equine
A/Swine/North_Carolina/35922/98	AF153252	H3N2	1998-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Iowa/8548-1/98	AF153255	H3N2	1998-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/Swine/Minnesota/9088-2/98	AF153254	H3N2	1998-XX-XX	Swine	Usa	North America	Swine	swine	Swine
A/ruddy_duck/Wisconsin/10OS3191/2010	CY132716	H3N8	2010-11-06	Avian	Usa	North America	Ruddy Duck	duck	Anseriformes
A/mallard_duck/Korea/VI141417/2014	MG366968	H3N8	2014-01-XX	Avian	South Korea	Japan Korea	Mallard	duck	Anseriformes
A/swine/North_Carolina/CR168215/2015	MW843929	H3N2	2015-08-29	Swine	Usa	North America	Swine	swine	Swine
A/chicken/Korea/S6/03	AY862655	H3N2	2003-XX-XX	Avian	South Korea	Japan Korea	Chicken	chicken	Galliformes
A/swine/Germany/Borken-IDT11902/2010	KR701170	H3N2	2010-04-29	Swine	Germany	Europe	Swine	swine	Swine
A/Mallard/Pennsylvania/AH0119431S.5.A/2017	MN254129	H3N8	2017-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Anser_fabalis/China/D398/2020	OP341281	H3N1	2020-10-XX	Avian	China	China	Bean Goose	goose	Anseriformes
A/swine/Nebraska/00386/2004	CY159702	H3N2	2004-08-13	Swine	Usa	North America	Swine	swine	Swine
A/duck/Korea/S9/03	AY862658	H3N2	2003-XX-XX	Avian	South Korea	Japan Korea	Duck	duck	Anseriformes
A/duck/Korea/S7/03	AY862656	H3N2	2003-XX-XX	Avian	South Korea	Japan Korea	Duck	duck	Anseriformes
A/Mallard/North_Dakota/AH0050148S.5.A/2015	MN254080	H3N8	2015-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/Northern_shoveler/North_Dakota/AH0004192S.5.B/2015	MN254004	H3N8	2015-XX-XX	Avian	Usa	North America	Northern Shoveler	duck	Anseriformes
A/equine/Athens/02/2003	HQ696116	H3N8	2003-06-XX	Equine	Greece	Europe	Equine	equine	Equine
A/equine/Athens/04/2007	HQ696117	H3N8	2007-05-XX	Equine	Greece	Europe	Equine	equine	Equine
A/swine/Italy/72502/2017	MW220416	H3N2	2017-02-07	Swine	Italy	Europe	Swine	swine	Swine
A/northern_pintail/Alaska/44340-347/2007	GU168356	H3N8	2007-08-11	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44421-446/2008	GU168366	H3N6	2008-10-06	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44344-730/2007	GU168339	H3N6	2007-08-25	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44421-445/2008	GU168355	H3N8	2008-09-22	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44340-268/2007	GU168333	H3N8	2007-08-05	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44421-431/2008	GU168345	H3N6	2008-10-05	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44421-385/2008	GU168341	H3N8	2008-10-06	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44340-093/2007	GU168357	H3N8	2007-09-16	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44419-062/2008	GU168334	H3N6	2008-08-06	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44419-104/2008	GU168335	H3N6	2008-08-06	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44340-071/2007	GU168313	H3N8	2007-09-04	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44344-881/2007	GU168362	H3N6	2007-08-23	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44344-527/2007	GU168342	H3	2007-08-03	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44430-266/2008	GU168343	H3N8	2008-09-15	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44340-184/2007	GU168331	H3N8	2007-08-07	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44344-503/2007	GU168322	H3N6	2007-08-02	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44344-798/2007	GU168316	H3N6	2007-08-26	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44340-297/2007	GU168327	H3N8	2007-08-07	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44340-054/2007	GU168314	H3N1	2007-09-08	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44344-506/2007	GU168321	H3N8	2007-08-06	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44344-581/2007	GU168320	H3N8	2007-08-03	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44344-490/2007	GU168353	H3N8	2007-08-05	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44340-221/2007	GU168332	H3	2007-08-06	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/duck/Korea/D43/2007	HQ143731	H3N2	2007-04-XX	Avian	South Korea	Japan Korea	Duck	duck	Anseriformes
A/duck/Korea/D42/2007	HQ143730	H3N2	2007-04-XX	Avian	South Korea	Japan Korea	Duck	duck	Anseriformes
A/duck/Korea/D126/2007	HQ143732	H3N6	2007-04-XX	Avian	South Korea	Japan Korea	Duck	duck	Anseriformes
A/duck/Korea/D130/2007	HQ143733	H3N8	2007-04-XX	Avian	South Korea	Japan Korea	Duck	duck	Anseriformes
A/wild_bird/Korea/6D1/2005	HQ143735	H3N8	2005-10-XX	Avian	South Korea	Japan Korea	Bird	avian	Avian
A/wild_bird/Korea/8G50/2005	HQ143736	H3N8	2005-11-XX	Avian	South Korea	Japan Korea	Bird	avian	Avian
A/Steller's_eider/Alaska/44354-352/2007	JF323798	H3N6	2007-09-13	Avian	Usa	North America	Stellars Eider	duck	Anseriformes
A/swine/Iowa/CD81015/2015	MW839752	H3N1	2015-08-17	Swine	Usa	North America	Swine	swine	Swine
A/northern_pintail/California/44241-743/2006	FJ520128	H3N8	2006-11-18	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/California/44221-794/2006	FJ520126	H3N8	2006-10-05	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/California/44242-836/2006	FJ520121	H3N6	2006-09-18	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/California/44242-711/2006	FJ520109	H3N6	2006-08-29	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/swine/Hong_Kong/3677/2016	ON849780	H3N2	2016-09-07	Swine	Hong Kong	China	Swine	swine	Swine
A/Anser_fabalis/China/D322/2020	OP341265	H3N1	2020-10-XX	Avian	China	China	Bean Goose	goose	Anseriformes
A/swine/Thailand/CU-S3689N/2013	KJ526049	H3N2	2013-01-16	Swine	Thailand	Southeast Asia	Swine	swine	Swine
A/duck/Korea/LPM66/2006	EU301330	H3N2	2006-XX-XX	Avian	South Korea	Japan Korea	Duck	duck	Anseriformes
A/duck/Korea/LPM86/2006	EU301332	H3N2	2006-XX-XX	Avian	South Korea	Japan Korea	Duck	duck	Anseriformes
A/duck/Korea/LPM91/2006	EU301334	H3N2	2006-XX-XX	Avian	South Korea	Japan Korea	Duck	duck	Anseriformes
A/duck/Korea/LPM92/2006	EU301335	H3N2	2006-XX-XX	Avian	South Korea	Japan Korea	Duck	duck	Anseriformes
A/chicken/Korea/LPM61/2005	EU301329	H3N2	2005-XX-XX	Avian	South Korea	Japan Korea	Chicken	chicken	Galliformes
A/swine/Hong_Kong/NS3575/2016	ON849772	H3N2	2016-09-07	Swine	Hong Kong	China	Swine	swine	Swine
A/swine/Thailand/CU-S3474N/2012	KJ526030	H3N2	2012-08-10	Swine	Thailand	Southeast Asia	Swine	swine	Swine
A/chicken/Korea/LPM44/2005	EU301327	H3N2	2005-XX-XX	Avian	South Korea	Japan Korea	Chicken	chicken	Galliformes
A/mallard/Minnesota/Sg-00169/2007	CY056343	H3N8	2007-09-16	Avian	Usa	North America	Mallard	duck	Anseriformes
A/swine/Oklahoma/65980/2017	MG720217	H3N2	2017-10-02	Swine	Usa	North America	Swine	swine	Swine
A/chicken/Kerala/CHCL1411100011/2014	MT272374	H3N8	2014-11-28	Avian	India	South Asia	Chicken	chicken	Galliformes
A/duck/Vietnam/LBM839/2015	LC496129	H3N6	2015-12-08	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/swan_goose/Jiangxi/H24/2014	MT375536	H3N6	2014-12-01	Avian	China	China	Swan Goose	goose	Anseriformes
A/swine/Hong_Kong/NS3559/2016	ON849764	H3N2	2016-09-07	Swine	Hong Kong	China	Swine	swine	Swine
A/duck/Korea/GJ78/2007	JN087241	H3N6	2007-11-29	Avian	South Korea	Japan Korea	Duck	duck	Anseriformes
A/pekin_duck/Korea/LBM176/2008	GU122078	H3N2	2008-02-XX	Avian	South Korea	Japan Korea	Pekin Duck	duck	Anseriformes
A/pekin_duck/Korea/LBM448/2007	GU122077	H3N2	2007-03-XX	Avian	South Korea	Japan Korea	Pekin Duck	duck	Anseriformes
A/pekin_duck/Korea/LBM78/2007	GU122076	H3N2	2007-01-XX	Avian	South Korea	Japan Korea	Pekin Duck	duck	Anseriformes
A/mallard/Korea/LBM1621/2007	GU122073	H3N2	2007-12-XX	Avian	South Korea	Japan Korea	Mallard	duck	Anseriformes
A/canine/Korea/LBM412/2008	GU122072	H3N2	2008-10-XX	Canine	South Korea	Japan Korea	Canine	canine	Canine
A/pekin_duck/Korea/LBM1354/2006	GU122071	H3N2	2006-12-XX	Avian	South Korea	Japan Korea	Pekin Duck	duck	Anseriformes
A/mallard_duck/Korea/LBM397/2007	GU122069	H3N2	2007-03-XX	Avian	South Korea	Japan Korea	Mallard	duck	Anseriformes
A/mallard_duck/Korea/LBM347/2007	GU122082	H3N8	2007-03-XX	Avian	South Korea	Japan Korea	Mallard	duck	Anseriformes
A/pekin_duck/Korea/LBM182/2007	GU122080	H3N8	2007-02-XX	Avian	South Korea	Japan Korea	Pekin Duck	duck	Anseriformes
A/mallard/Mongolia/1551/2010	KC886676	H3N1	2010-09-10	Avian	Mongolia	West Asia	Mallard	duck	Anseriformes
A/ruddy_shelduck/Mongolia/961V/2009	KC886688	H3N8	2009-09-15	Avian	Mongolia	West Asia	Ruddy Shelduck	duck	Anseriformes
A/Mallard/Pennsylvania/AH0119434S.5.B/2017	MN254133	H3N8	2017-XX-XX	Avian	Usa	North America	Mallard	duck	Anseriformes
A/northern_pintail/Alaska/44500-089/2009	JX081062	H3N8	2009-08-10	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/duck/Nha_Trang/177/2016	LC496169	H3N8	2016-02-26	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/duck/Nha_Trang/169/2016	LC496161	H3N8	2016-02-26	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/red-crested_pochard/Mongolia/463V/2009	KC886692	H3N1	2009-08-17	Avian	Mongolia	West Asia	Red-crested Pochard	duck	Anseriformes
A/swine/Spain/BM38/2019	MN933811	H3N1	2019-03-01	Swine	Spain	Europe	Swine	swine	Swine
A/swine/Spain/BM37/2019	MN933812	H3N1	2019-03-01	Swine	Spain	Europe	Swine	swine	Swine
A/swine/Spain/001/2017	MN933834	H3N2	2017-02-24	Swine	Spain	Europe	Swine	swine	Swine
A/swine/Spain/018/2017	MN933848	H3N2	2017-05-04	Swine	Spain	Europe	Swine	swine	Swine
A/common_shelduck/Mongolia/2157/2011	KC886650	H3N3	2011-10-09	Avian	Mongolia	West Asia	Common Shelduck	duck	Anseriformes
A/swine/Oklahoma/65260/2017	MG720225	H3N2	2017-09-27	Swine	Usa	North America	Swine	swine	Swine
A/swine/Thailand/CU-S3673N/2012	KJ526063	H3N2	2012-12-22	Swine	Thailand	Southeast Asia	Swine	swine	Swine
A/duck/Nha_Trang/161/2016	LC496153	H3N6	2016-02-26	Avian	Vietnam	Southeast Asia	Duck	duck	Anseriformes
A/northern_pintail/Alaska/44204-075/2006	EU557556	H3N8	2006-10-14	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44155-158/2006	EU557523	H3N8	2006-08-15	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44228-129/2006	EU557546	H3N8	2006-10-02	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/ruddy_shelduck/Mongolia/963V/2009	KC886668	H3N8	2009-09-15	Avian	Mongolia	West Asia	Ruddy Shelduck	duck	Anseriformes
A/common_shelduck/Mongolia/2106/2011	KC886674	H3N8	2011-10-09	Avian	Mongolia	West Asia	Common Shelduck	duck	Anseriformes
A/ruddy_shelduck/Mongolia/1787/2011	KC886675	H3N8	2011-09-17	Avian	Mongolia	West Asia	Ruddy Shelduck	duck	Anseriformes
A/velvet_scoter/Mongolia/969V/2009	KC886690	H3N8	2009-09-15	Avian	Mongolia	West Asia	Velvet Scoter	duck	Anseriformes
A/northern_pintail/Alaska/44194-041/2006	EU557533	H3N6	2006-08-15	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44160-044/2006	EU557526	H3N8	2006-08-17	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44183-067/2006	EU557528	H3N8	2006-08-09	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44202-126/2006	EU557555	H3N8	2006-10-14	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44228-175/2006	EU557548	H3N8	2006-09-29	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44228-173/2006	EU557547	H3N8	2006-09-29	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44184-003/2006	EU557540	H3N8	2006-08-25	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44182-129/2006	EU557539	H3N8	2006-08-25	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44183-072/2006	EU557529	H3N8	2006-08-12	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44244-108/2006	EU557544	H3N8	2006-09-01	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44194-071/2006	EU557534	H3N6	2006-08-18	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Alaska/44202-103/2006	EU557558	H3N8	2006-10-12	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/swine/Spain/13/2010	JX908066	H3N2	2010-04-01	Swine	Spain	Europe	Swine	swine	Swine
A/swine/Spain/11/2010	JX908034	H3N2	2010-01-01	Swine	Spain	Europe	Swine	swine	Swine
A/common_teal/Mongolia/2271/2011	KC886702	H3N8	2011-10-10	Avian	Mongolia	West Asia	Eurasian Teal	duck	Anseriformes
A/northern_shoveler/Mongolia/957/2009	KC886698	H3N8	2009-09-15	Avian	Mongolia	West Asia	Northern Shoveler	duck	Anseriformes
A/common_shelduck/Mongolia/2185/2011	KC886655	H3N8	2011-10-09	Avian	Mongolia	West Asia	Common Shelduck	duck	Anseriformes
A/mallard/Mongolia/1581/2010	KC886667	H3N8	2010-09-10	Avian	Mongolia	West Asia	Mallard	duck	Anseriformes
A/swine/Hong_Kong/5212/99	AY363539	H3N2	1999-XX-XX	Swine	Hong Kong	China	Swine	swine	Swine
A/swine/Hong_Kong/7982/00	AY363540	H3N2	2000-XX-XX	Swine	Hong Kong	China	Swine	swine	Swine
A/swine/Hong_Kong/9296/01	AY363541	H3N2	2001-XX-XX	Swine	Hong Kong	China	Swine	swine	Swine
A/swine/Hong_Kong/9745/01	AY363542	H3N2	2001-XX-XX	Swine	Hong Kong	China	Swine	swine	Swine
A/swine/Hong_Kong/74/02	AY363533	H3N2	2002-XX-XX	Swine	Hong Kong	China	Swine	swine	Swine
A/swine/Hong_Kong/1197/02	AY363544	H3N2	2002-XX-XX	Swine	Hong Kong	China	Swine	swine	Swine
A/swine/Hong_Kong/5200/99	AY363538	H3N2	1999-XX-XX	Swine	Hong Kong	China	Swine	swine	Swine
A/swine/Hong_Kong/5190/99	AY363537	H3N2	1999-XX-XX	Swine	Hong Kong	China	Swine	swine	Swine
A/swine/Hong_Kong/1212/02	AY363535	H3N2	2002-XX-XX	Swine	Hong Kong	China	Swine	swine	Swine
A/ruddy_shelduck/Mongolia/882V/2009	KC886691	H3N8	2009-09-15	Avian	Mongolia	West Asia	Ruddy Shelduck	duck	Anseriformes
A/swine/Hong_Kong/q066/99	AY363536	H3N2	1999-XX-XX	Swine	Hong Kong	China	Swine	swine	Swine
